         2093178 function calls (2075061 primitive calls) in 13.346 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    610/1    0.001    0.000   13.346   13.346 {built-in method builtins.exec}
        1    0.000    0.000   13.346   13.346 main.py:1(<module>)
        1    0.000    0.000   11.322   11.322 app.py:946(run)
        1    0.000    0.000   11.321   11.321 base.py:548(runTouchApp)
        1    0.002    0.002   11.320   11.320 base.py:344(mainloop)
      477    0.005    0.000   11.124    0.023 base.py:377(idle)
3926/1704    0.006    0.000    7.897    0.005 {method 'dispatch' of 'kivy._event.EventDispatcher' objects}
      477    0.001    0.000    7.252    0.015 clock.py:727(tick)
        5    0.000    0.000    4.535    0.907 main.py:56(on_map_select)
        3    0.000    0.000    4.535    1.512 main.py:51(set_map_id)
      477    0.002    0.000    4.343    0.009 clock.py:747(post_idle)
      477    0.005    0.000    4.341    0.009 {method '_process_events' of 'kivy._clock.CyClockBase' objects}
        3    0.016    0.005    4.273    1.424 tilemap.py:149(set_map_id)
   534/13    0.001    0.000    4.212    0.324 widget.py:559(on_touch_up)
        4    0.000    0.000    4.210    1.053 scrollview.py:1214(_do_touch_up)
      320    0.001    0.000    3.638    0.011 __init__.py:1393(on_draw)
      320    3.627    0.011    3.634    0.011 {method 'draw' of 'kivy.graphics.instructions.Canvas' objects}
      477    0.002    0.000    2.906    0.006 clock.py:677(idle)
      262    0.001    0.000    2.902    0.011 clock.py:964(usleep)
      262    2.901    0.011    2.901    0.011 clock.py:499(_usleep)
       28    0.000    0.000    2.457    0.088 Image.py:2153(save)
       28    0.001    0.000    2.450    0.087 PngImagePlugin.py:1192(_save)
       28    0.001    0.000    2.448    0.087 ImageFile.py:478(_save)
       69    2.440    0.035    2.440    0.035 {method 'encode' of 'ImagingEncoder' objects}
        4    0.050    0.012    1.963    0.491 tilemap.py:238(create_map_layer)
        4    0.005    0.001    1.765    0.441 tilemap.py:353(draw_layers)
       91    0.001    0.000    1.283    0.014 image.py:253(texture_update)
       28    0.000    0.000    1.136    0.041 image.py:307(reload)
        1    0.000    0.000    1.070    1.070 main.py:63(__init__)
        1    0.000    0.000    1.070    1.070 main.py:15(__init__)
    73/71    0.001    0.000    0.965    0.014 __init__.py:508(__init__)
   391/11    0.003    0.000    0.964    0.088 <frozen importlib._bootstrap>:1002(_find_and_load)
    72/71    0.001    0.000    0.964    0.014 __init__.py:720(_set_filename)
   389/11    0.001    0.000    0.964    0.088 <frozen importlib._bootstrap>:967(_find_and_load_unlocked)
    43/42    0.001    0.000    0.962    0.023 __init__.py:394(load)
   554/12    0.000    0.000    0.960    0.080 <frozen importlib._bootstrap>:220(_call_with_frames_removed)
   373/12    0.001    0.000    0.960    0.080 <frozen importlib._bootstrap>:659(_load_unlocked)
   293/11    0.001    0.000    0.960    0.087 <frozen importlib._bootstrap_external>:844(exec_module)
       42    0.000    0.000    0.892    0.021 __init__.py:213(__init__)
       42    0.001    0.000    0.892    0.021 img_sdl2.py:39(load)
       42    0.892    0.021    0.892    0.021 {kivy.core.image._img_sdl2.load_from_filename}
        4    0.002    0.000    0.641    0.160 tilemap.py:281(create_event_layer)
       17    0.166    0.010    0.583    0.034 ruby_loader.py:8(load_data)
        1    0.000    0.000    0.569    0.569 __init__.py:3(<module>)
        2    0.000    0.000    0.564    0.282 __init__.py:36(core_select_lib)
        1    0.000    0.000    0.548    0.548 window_sdl2.py:149(__init__)
        1    0.000    0.000    0.548    0.548 __init__.py:892(__init__)
        1    0.000    0.000    0.547    0.547 window_sdl2.py:260(create_window)
        8    0.000    0.000    0.532    0.066 ruby_loader.py:14(map)
       32    0.001    0.000    0.527    0.016 __init__.py:1(<module>)
        1    0.508    0.508    0.508    0.508 {method 'setup_window' of 'kivy.core.window._window_sdl2._WindowSDL2Storage' objects}
        1    0.001    0.001    0.409    0.409 centerlayout.py:8(__init__)
        1    0.001    0.001    0.403    0.403 tilemap.py:90(__init__)
     4334    0.012    0.000    0.390    0.000 classes.py:573(__init__)
     4334    0.012    0.000    0.370    0.000 config.py:6(__init__)
     4334    0.009    0.000    0.359    0.000 config.py:10(load_config)
  428/426    0.008    0.000    0.335    0.001 widget.py:332(__init__)
        1    0.001    0.001    0.334    0.334 leftlayout.py:10(__init__)
    54722    0.113    0.000    0.315    0.000 Image.py:1506(paste)
       73    0.000    0.000    0.310    0.004 __init__.py:808(texture)
       65    0.000    0.000    0.310    0.005 __init__.py:673(_img_iterate)
      126    0.000    0.000    0.310    0.002 __init__.py:313(textures)
       42    0.001    0.000    0.310    0.007 __init__.py:249(populate)
       42    0.283    0.007    0.283    0.007 {kivy.graphics.texture.texture_create_from_data}
        1    0.000    0.000    0.270    0.270 mapinfo.py:6(__init__)
        3    0.001    0.000    0.262    0.087 tilepicker.py:27(set_map_id)
        1    0.032    0.032    0.259    0.259 mapinfo.py:23(load_mapinfos)
     4485    0.232    0.000    0.243    0.000 {built-in method io.open}
      385    0.004    0.000    0.236    0.001 label.py:316(__init__)
      477    0.003    0.000    0.195    0.000 window_sdl2.py:477(mainloop)
   405/53    0.001    0.000    0.195    0.004 {built-in method builtins.__import__}
  428/426    0.001    0.000    0.189    0.000 widget.py:395(apply_class_lang_rules)
  428/426    0.004    0.000    0.188    0.000 builder.py:501(apply)
      761    0.055    0.000    0.187    0.000 {method 'poll' of 'kivy.core.window._window_sdl2._WindowSDL2Storage' objects}
1181/1177    0.011    0.000    0.182    0.000 builder.py:552(_apply_rule)
        1    0.000    0.000    0.179    0.179 app.py:1(<module>)
  363/130    0.001    0.000    0.174    0.001 <frozen importlib._bootstrap>:1033(_handle_fromlist)
      962    0.008    0.000    0.158    0.000 label.py:376(texture_update)
      902    0.002    0.000    0.145    0.000 Image.py:2662(new)
      902    0.140    0.000    0.140    0.000 {built-in method PIL._imaging.fill}
        1    0.000    0.000    0.136    0.136 base.py:2(<module>)
        1    0.000    0.000    0.133    0.133 centerlayout.py:1(<module>)
        1    0.000    0.000    0.132    0.132 tilemap.py:1(<module>)
  904/901    0.006    0.000    0.132    0.000 wm_pen.py:70(_pen_wndProc)
     4335    0.007    0.000    0.131    0.000 __init__.py:274(load)
     1180    0.025    0.000    0.121    0.000 builder.py:903(_build_canvas)
       32    0.000    0.000    0.121    0.004 image.py:244(__init__)
      959    0.003    0.000    0.117    0.000 __init__.py:756(refresh)
  904/901    0.116    0.000    0.116    0.000 wm_touch.py:116(_touch_wndProc)
     1065    0.004    0.000    0.116    0.000 __init__.py:690(render)
     5544    0.043    0.000    0.115    0.000 builder.py:177(create_handler)
      477    0.001    0.000    0.104    0.000 clock.py:780(tick_draw)
      477    0.002    0.000    0.103    0.000 {method '_process_events_before_frame' of 'kivy._clock.CyClockBase' objects}
      959    0.011    0.000    0.097    0.000 {kivy.core.text.text_layout.layout_text}
        4    0.003    0.001    0.097    0.024 tilemap.py:188(load_autotiles)
     4337    0.089    0.000    0.095    0.000 {method 'read' of '_io.TextIOWrapper' objects}
7773/7291    0.037    0.000    0.092    0.000 builder.py:60(call_fn)
    22119    0.005    0.000    0.091    0.000 text_sdl2.py:29(get_extents)
      384    0.003    0.000    0.091    0.000 <frozen importlib._bootstrap>:901(_find_spec)
    22119    0.018    0.000    0.087    0.000 {kivy.core.text._text_sdl2._get_extents}
      366    0.000    0.000    0.086    0.000 <frozen importlib._bootstrap_external>:1406(find_spec)
      366    0.002    0.000    0.086    0.000 <frozen importlib._bootstrap_external>:1374(_get_spec)
      293    0.003    0.000    0.083    0.000 <frozen importlib._bootstrap_external>:916(get_code)
      731    0.006    0.000    0.081    0.000 <frozen importlib._bootstrap_external>:1505(find_spec)
     1623    0.002    0.000    0.077    0.000 Image.py:1155(crop)
        1    0.000    0.000    0.069    0.069 builder.py:1(<module>)
    22225    0.039    0.000    0.069    0.000 text_sdl2.py:24(_get_font_id)
     1755    0.068    0.000    0.068    0.000 {built-in method nt.stat}
    14584    0.007    0.000    0.068    0.000 ImageFile.py:154(load)
        2    0.000    0.000    0.065    0.032 builder.py:335(load_string)
        2    0.000    0.000    0.064    0.032 parser.py:390(__init__)
